AGEP,WKHP,WAGP,HINS4_label,PAP,SCHL_label,SEX_label
54,0,0,Yes,0,GED or alternative credential,Female
21,25,5000,No,0,"1 or more years of college credit, no degree",Female
26,0,0,Yes,0,Regular high school diploma,Female
21,8,15000,No,0,"1 or more years of college credit, no degree",Female
20,12,10000,No,0,"1 or more years of college credit, no degree",Female
94,0,0,No,0,"1 or more years of college credit, no degree",Female
70,0,0,Yes,0,Regular high school diploma,Female
50,40,12000,Yes,0,Grade 10,Female
94,0,0,Yes,0,Regular high school diploma,Female
24,35,2000,Yes,0,Grade 8,Female
21,23,13400,No,0,"1 or more years of college credit, no degree",Female
58,40,92000,No,0,Bachelor's degree,Female
40,0,0,Yes,0,"1 or more years of college credit, no degree",Female
24,24,10500,No,0,Associate's degree,Female
94,0,0,Yes,0,Regular high school diploma,Female
20,35,4200,No,0,"1 or more years of college credit, no degree",Female
86,0,0,No,0,Regular high school diploma,Female
89,0,0,No,0,Regular high school diploma,Female
73,0,0,Yes,0,Regular high school diploma,Female
87,0,0,No,0,Regular high school diploma,Female
94,0,0,No,0,"1 or more years of college credit, no degree",Female
19,0,0,No,0,"Some college, but less than 1 year",Female
40,0,0,Yes,0,Grade 11,Female
47,0,0,No,0,Bachelor's degree,Female
21,23,13400,No,0,"1 or more years of college credit, no degree",Female
89,0,0,No,0,Regular high school diploma,Female
56,10,1600,No,0,Regular high school diploma,Female
20,15,300,No,0,"1 or more years of college credit, no degree",Female
19,16,8000,No,0,"1 or more years of college credit, no degree",Female
68,0,0,Yes,0,Grade 9,Female
68,0,0,Yes,0,Regular high school diploma,Female
56,1,430,Yes,0,Grade 8,Female
24,24,10500,No,0,Associate's degree,Female
53,40,32000,No,0,"1 or more years of college credit, no degree",Female
29,0,0,No,0,"1 or more years of college credit, no degree",Female
73,0,0,Yes,0,Regular high school diploma,Female
84,0,0,No,0,Bachelor's degree,Female
26,0,0,Yes,0,Grade 10,Female
20,20,1600,No,0,"1 or more years of college credit, no degree",Female
24,24,10500,No,0,Associate's degree,Female
82,0,0,No,0,GED or alternative credential,Female
88,0,0,Yes,0,Regular high school diploma,Female
71,0,0,Yes,0,Grade 6,Female
19,10,200,No,0,"Some college, but less than 1 year",Female
83,0,0,Yes,0,Bachelor's degree,Female
19,20,1500,No,0,"1 or more years of college credit, no degree",Female
94,0,0,No,0,Regular high school diploma,Female
21,12,5000,No,0,"1 or more years of college credit, no degree",Female
86,0,0,No,0,Grade 11,Female
61,0,0,Yes,0,Regular high school diploma,Female
20,25,2100,Yes,0,"Some college, but less than 1 year",Female
82,0,0,Yes,0,Bachelor's degree,Female
23,0,0,No,0,"1 or more years of college credit, no degree",Female
19,6,480,No,0,"Some college, but less than 1 year",Female
61,0,0,Yes,0,Regular high school diploma,Female
55,8,5500,No,0,Regular high school diploma,Female
73,0,0,No,0,"1 or more years of college credit, no degree",Female
75,8,0,No,0,Bachelor's degree,Female
58,24,13000,No,0,Regular high school diploma,Female
50,40,0,No,0,Associate's degree,Female
28,20,10000,No,0,Bachelor's degree,Female
73,0,0,No,0,Bachelor's degree,Female
44,24,0,Yes,0,"1 or more years of college credit, no degree",Female
77,0,0,No,0,Bachelor's degree,Female
66,0,0,No,0,Bachelor's degree,Female
65,0,0,No,0,Bachelor's degree,Female
31,90,0,Yes,0,"1 or more years of college credit, no degree",Female
55,40,42000,No,0,Bachelor's degree,Female
34,40,18600,No,0,Regular high school diploma,Female
25,32,23500,Yes,0,"1 or more years of college credit, no degree",Female
89,0,0,Yes,0,Regular high school diploma,Female
68,30,4000,No,0,"1 or more years of college credit, no degree",Female
33,38,48000,No,0,Bachelor's degree,Female
58,25,10000,Yes,0,"1 or more years of college credit, no degree",Female
60,40,21000,No,0,Associate's degree,Female
26,3,500,Yes,0,12th grade - no diploma,Female
